#centrality dS/dy Npart_min Npart_max b_min(fm) b_max(fm)
0.0 1000000.0 500.0 500.0 0.0 0.0
0.001 28.338071 27.0 32.0 0.09803657 0.76454878
0.002 27.076027 24.0 30.0 0.26745487 1.2780314
0.003 26.292705 25.0 31.0 0.37052088 1.5706288
0.004 25.997914 27.0 31.0 0.14289201 1.548681
0.005 25.775557 26.0 30.0 0.078708125 1.2763272
0.006 25.532097 17.0 31.0 0.41476205 3.2071428
0.007 25.38665 25.0 31.0 0.3454517 1.6268161
0.008 25.236664 25.0 31.0 0.29053674 1.3018261
0.009 25.083742 25.0 30.0 0.14634875 1.7883664
0.01 24.877593 26.0 31.0 0.28278648 1.6183542
0.02 23.968261 23.0 32.0 0.026716318 2.0134912
0.03 23.465634 22.0 31.0 0.080405318 2.4032392
0.04 23.071988 22.0 31.0 0.069405683 2.0416149
0.05 22.766157 22.0 32.0 0.10093095 2.3693087
0.06 22.471386 23.0 31.0 0.057291242 2.2420454
0.07 22.237023 19.0 32.0 0.16401483 2.4922495
0.08 22.066272 18.0 32.0 0.15393703 2.6463828
0.09 21.875741 20.0 32.0 0.10833342 2.7583945
0.1 21.72045 20.0 32.0 0.2182333 3.1442131
0.2 20.65494 16.0 32.0 0.027612076 3.022511
0.3 20.01662 18.0 32.0 0.0058201515 2.9493429
0.4 19.582679 17.0 31.0 0.028004431 2.9333362
0.5 19.19763 16.0 32.0 0.039106737 3.206175
0.6 18.885737 17.0 32.0 0.036518229 3.0085498
0.7 18.615614 16.0 32.0 0.0092156703 3.4895896
0.8 18.387506 15.0 32.0 0.048622933 3.6914228
0.9 18.171415 17.0 32.0 0.049477037 3.1120172
1.0 17.973933 14.0 32.0 0.051474846 4.4392158
2.0 16.599177 13.0 32.0 0.0047388852 3.9723137
3.0 15.696062 12.0 32.0 0.019913487 3.8226609
4.0 14.993233 11.0 32.0 0.015494686 4.2224953
5.0 14.406004 12.0 32.0 0.018029079 4.5539714
6.0 13.899751 10.0 31.0 0.02382959 4.5440259
7.0 13.44166 11.0 31.0 0.0040140712 5.1726438
8.0 13.0233 8.0 31.0 0.04167737 4.7109372
9.0 12.630329 9.0 32.0 0.015420339 5.3234953
10.0 12.25814 10.0 30.0 0.022548797 5.2235948
11.0 11.907929 6.0 31.0 0.057078608 5.2685806
12.0 11.573975 8.0 30.0 0.056652867 5.2207248
13.0 11.252397 8.0 30.0 0.028841648 5.2591786
14.0 10.944732 7.0 29.0 0.028074855 5.1409785
15.0 10.647722 7.0 30.0 0.031903903 5.0830441
16.0 10.356939 5.0 29.0 0.11872729 6.2736003
17.0 10.078907 3.0 29.0 0.062040772 5.5412434
18.0 9.8047142 6.0 29.0 0.087990573 5.3532519
19.0 9.5350511 5.0 29.0 0.013257784 6.0587095
20.0 9.275983 6.0 27.0 0.15896924 5.4648806
21.0 9.0259315 5.0 27.0 0.11318651 5.706526
22.0 8.777986 5.0 26.0 0.038178796 6.3932687
23.0 8.5383772 5.0 26.0 0.099291048 5.8835813
24.0 8.3044164 4.0 25.0 0.041988162 6.1944165
25.0 8.0773869 5.0 28.0 0.25978997 6.1659321
26.0 7.8504815 2.0 25.0 0.089274967 6.4999495
27.0 7.6316643 2.0 25.0 0.30320828 6.3879783
28.0 7.4210175 4.0 24.0 0.22805788 6.3549141
29.0 7.2100339 3.0 24.0 0.69318041 6.3150053
30.0 7.0097712 3.0 24.0 0.40764701 7.2546605
31.0 6.8118191 2.0 23.0 0.13974229 7.6919241
32.0 6.6176028 3.0 24.0 0.5498171 6.7886733
33.0 6.4274806 3.0 22.0 0.53098018 7.1314915
34.0 6.2487677 2.0 21.0 0.87589021 6.8915156
35.0 6.0695319 2.0 21.0 1.2293977 7.3220458
36.0 5.8974347 2.0 22.0 0.41538009 7.301301
37.0 5.7286284 2.0 21.0 0.98377677 8.02713
38.0 5.5649509 2.0 21.0 1.3632152 7.0363192
39.0 5.4042874 2.0 20.0 1.0817888 7.7177253
40.0 5.2417784 2.0 20.0 1.2482952 7.3024111
41.0 5.0875122 2.0 20.0 0.86258677 7.595591
42.0 4.9364365 2.0 20.0 1.2011789 7.4464141
43.0 4.7899803 2.0 20.0 0.10155924 7.3250173
44.0 4.6458336 2.0 17.0 1.3169132 7.8718299
45.0 4.5037781 2.0 18.0 0.63944411 8.0755443
46.0 4.3682053 2.0 18.0 1.393193 9.1962784
47.0 4.2361285 2.0 17.0 1.8320246 8.0053957
48.0 4.1063672 2.0 16.0 1.997044 8.2998645
49.0 3.9800244 2.0 16.0 2.1618587 8.5472633
50.0 3.8584902 2.0 16.0 2.2771354 8.4431594
51.0 3.7390026 2.0 16.0 2.0660794 8.3150539
52.0 3.6217449 2.0 15.0 2.0962463 9.5564353
53.0 3.5076379 2.0 14.0 2.4107519 9.5367182
54.0 3.3967254 2.0 15.0 2.4015359 8.7769429
55.0 3.2888823 2.0 14.0 2.2837123 8.9574322
56.0 3.184996 2.0 15.0 1.6944816 9.1228082
57.0 3.0826986 2.0 14.0 2.0992569 8.9974733
58.0 2.9823766 2.0 14.0 2.1082435 9.0905575
59.0 2.884844 2.0 12.0 2.1416324 9.313352
60.0 2.7902561 2.0 14.0 2.2791644 8.9176368
61.0 2.6970368 2.0 13.0 2.5890172 8.8538409
62.0 2.6060368 2.0 13.0 2.6970475 9.8243489
63.0 2.5186446 2.0 12.0 2.5856871 8.7387572
64.0 2.4331086 2.0 12.0 2.7167163 9.6753983
65.0 2.3507665 2.0 13.0 2.6713722 9.7453074
66.0 2.2688322 2.0 11.0 2.8776933 10.362339
67.0 2.1903299 2.0 11.0 2.6499928 9.4871855
68.0 2.1144181 2.0 10.0 3.010309 9.3212314
69.0 2.0408314 2.0 10.0 2.7925407 10.169972
70.0 1.9682538 2.0 10.0 2.8681852 10.914944
71.0 1.8978016 2.0 11.0 2.8823233 10.93159
72.0 1.8299239 2.0 10.0 2.8574641 10.294773
73.0 1.7629121 2.0 11.0 2.8758078 9.9141741
74.0 1.6985805 2.0 10.0 3.0282774 9.8687097
75.0 1.6353962 2.0 9.0 3.085218 10.802853
76.0 1.5748769 2.0 10.0 3.0682503 9.4311411
77.0 1.5156285 2.0 9.0 2.9628219 10.41607
78.0 1.4577816 2.0 8.0 3.1848642 10.35655
79.0 1.4005417 2.0 9.0 2.8379662 10.367976
80.0 1.3447464 2.0 8.0 3.1407278 9.9566157
81.0 1.2914689 2.0 8.0 3.2089638 10.159611
82.0 1.2391619 2.0 8.0 2.9349534 10.618425
83.0 1.1859311 2.0 7.0 3.1627832 10.065933
84.0 1.1352649 2.0 8.0 2.5849984 10.588104
85.0 1.0860101 2.0 8.0 2.5609509 10.061116
86.0 1.0369927 2.0 7.0 2.9456932 10.148493
87.0 0.98852054 2.0 7.0 2.8025508 9.9326875
88.0 0.93985551 2.0 7.0 2.9252026 10.010929
89.0 0.89221204 2.0 7.0 3.0823843 10.147158
90.0 0.84458559 2.0 7.0 3.2971507 10.715225
91.0 0.79613597 2.0 6.0 3.1311462 11.67104
92.0 0.74682706 2.0 6.0 3.4551723 9.9854649
93.0 0.69740809 2.0 6.0 3.174673 10.487976
94.0 0.64635474 2.0 6.0 3.6309767 9.9365514
95.0 0.593383 2.0 6.0 3.4793706 10.117257
96.0 0.53706233 2.0 5.0 3.3966524 10.702438
97.0 0.47508023 2.0 5.0 3.0521343 10.332486
98.0 0.4033674 2.0 5.0 3.5695788 10.14256
99.0 0.31042407 2.0 4.0 3.3266866 10.306837
100.0 0.022776892 2.0 4.0 3.4114101 10.095578
