#centrality dS/dy Npart_min Npart_max b_min(fm) b_max(fm)
81.0 1.4089493 2.0 9.0 3.8835648 11.01877
82.0 1.3469416 2.0 9.0 3.6360955 10.357084
83.0 1.2873166 2.0 8.0 3.7529719 10.47463
84.0 1.2289805 2.0 7.0 3.9887857 10.27431
85.0 1.1717018 2.0 7.0 3.8068645 11.100382
86.0 1.1155244 2.0 7.0 3.8113731 11.086053
87.0 1.0600462 2.0 7.0 3.8760289 10.251022
88.0 1.00581 2.0 7.0 3.9960842 10.765255
89.0 0.95227418 2.0 7.0 3.8519304 10.740715
90.0 0.89993081 2.0 7.0 3.9775895 11.087156
91.0 0.84640133 2.0 7.0 3.6117513 10.295382
92.0 0.79235133 2.0 6.0 3.8830859 10.699491
93.0 0.73753943 2.0 6.0 3.9478922 10.821164
94.0 0.68188227 2.0 6.0 3.9263692 11.362792
95.0 0.62378167 2.0 6.0 3.8244275 11.330987
96.0 0.56265433 2.0 5.0 3.8254093 10.511418
97.0 0.49672746 2.0 5.0 4.1407983 10.707385
98.0 0.42133864 2.0 5.0 4.1846612 10.245427
99.0 0.32359262 2.0 5.0 3.9598366 10.803928
100.0 0.0069749802 2.0 4.0 4.0554342 10.738346
