#centrality dS/dy Npart_min Npart_max b_min(fm) b_max(fm)
79.0 0.72945209 2.0 6.0 0.03889183 6.4914247
80.0 0.71172356 2.0 5.0 0.099323235 6.4936018
81.0 0.69355553 2.0 5.0 0.023761585 6.3402661
82.0 0.67498002 2.0 5.0 0.0087326294 6.5004458
83.0 0.65648412 2.0 5.0 0.071281429 6.5246883
84.0 0.63775059 2.0 6.0 0.042891818 6.3217435
85.0 0.61861686 2.0 5.0 0.05269049 6.6074405
86.0 0.59881811 2.0 5.0 0.013502529 6.5432257
87.0 0.57853333 2.0 5.0 0.042339049 6.5922669
88.0 0.55823943 2.0 5.0 0.038087358 6.5989604
89.0 0.53713959 2.0 5.0 0.036896438 6.2205829
90.0 0.51555939 2.0 5.0 0.014878797 6.4344044
91.0 0.49299552 2.0 4.0 0.055784937 6.7168025
92.0 0.46931648 2.0 5.0 0.046408537 7.0885864
93.0 0.44451231 2.0 4.0 0.045675787 6.3466724
94.0 0.418226 2.0 5.0 0.029920702 6.0581204
95.0 0.38964391 2.0 5.0 0.064549288 6.5169802
96.0 0.35837191 2.0 4.0 0.056915797 6.8030963
97.0 0.32280798 2.0 4.0 0.058692949 6.8823567
98.0 0.27927227 2.0 5.0 0.017210235 6.6247738
99.0 0.22126303 2.0 4.0 0.02612487 6.2753796
100.0 0.0067802359 2.0 3.0 0.038729129 6.4568515
