#centrality dS/dy Npart_min Npart_max b_min(fm) b_max(fm)
79.0 0.80999276 2.0 6.0 0.14501647 7.3251748
80.0 0.78883055 2.0 6.0 0.1850332 7.236895
81.0 0.76751378 2.0 7.0 0.075048318 7.0781526
82.0 0.74605378 2.0 5.0 0.042388281 6.9331416
83.0 0.72480393 2.0 6.0 0.10318619 7.4533278
84.0 0.70330858 2.0 6.0 0.080311459 7.2895771
85.0 0.68163744 2.0 5.0 0.10783591 7.1072756
86.0 0.65874643 2.0 6.0 0.094752257 7.1098111
87.0 0.63568928 2.0 5.0 0.12710684 6.8562788
88.0 0.61248803 2.0 5.0 0.086459083 6.9921209
89.0 0.58856339 2.0 5.0 0.13201725 6.8079896
90.0 0.56425288 2.0 6.0 0.11416589 7.0956397
91.0 0.53894018 2.0 5.0 0.10713026 6.9257717
92.0 0.51283212 2.0 5.0 0.099431906 6.9861675
93.0 0.48506736 2.0 5.0 0.12448091 6.9823132
94.0 0.45533538 2.0 4.0 0.14356314 7.2410502
95.0 0.42291091 2.0 5.0 0.18858612 7.4392932
96.0 0.38756106 2.0 5.0 0.1449248 7.5273293
97.0 0.34759044 2.0 4.0 0.19521929 7.2099274
98.0 0.29923438 2.0 4.0 0.11962224 6.6477088
99.0 0.23552035 2.0 4.0 0.10551077 7.0564718
100.0 0.019322341 2.0 4.0 0.17683574 7.2300245
